rank_test_score,param_xgb__n_estimators,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__subsample,param_xgb__colsample_bytree,param_xgb__lambda,param_xgb__alpha,train_rmse,test_rmse
196,200,7,0.2,1.0,0.7,0.5,0.0,0.434233172165585,0.727655716413549
197,500,7,0.2,0.7,0.7,1.0,0.0,0.32292639363796943,0.7277091594715712
198,500,6,0.1,1.0,1.0,1.0,0.5,0.4948827822556653,0.7277560425992925
199,500,6,0.1,0.7,1.0,1.0,0.5,0.4886363532578104,0.7278451185020117
200,500,7,0.2,0.7,1.0,1.0,0.0,0.3260696339757656,0.7280131284817095
201,200,9,0.2,0.7,0.7,1.0,0.5,0.3003853577136367,0.7280569945070227
202,500,6,0.2,0.7,0.7,0.5,0.5,0.38649018600597324,0.7281128036233632
203,500,6,0.3,1.0,0.7,0.5,0.0,0.3030804313595986,0.7282117100712474
204,200,7,0.2,1.0,0.7,0.5,0.5,0.4353079042527196,0.728265408773739
205,500,5,0.3,1.0,1.0,1.0,0.5,0.4166874947591263,0.7284410830903504
206,500,6,0.1,1.0,0.7,1.0,0.5,0.4985781154232442,0.7285128129701647
207,200,10,0.2,0.7,0.7,1.0,0.5,0.2614783160618294,0.7286201714190086
208,500,6,0.3,1.0,1.0,1.0,0.0,0.30376849687592467,0.7286265045521751
209,200,7,0.2,1.0,1.0,0.5,0.5,0.42662275286623225,0.7286883687712074
210,500,5,0.3,1.0,1.0,0.5,0.5,0.41209068489752954,0.7287992857162546
211,200,7,0.2,1.0,1.0,1.0,0.0,0.4354616126028273,0.7288082995719777
212,200,10,0.2,0.7,1.0,1.0,0.5,0.26164992388348834,0.7288288139489494
213,200,7,0.2,1.0,0.7,1.0,0.0,0.44018180264698076,0.7288503534437967
214,500,7,0.05,0.7,1.0,1.0,0.5,0.5067162374588581,0.728856755076589
215,500,7,0.05,0.7,1.0,0.5,0.5,0.5037433950850249,0.7289120667083526
216,500,6,0.1,1.0,1.0,1.0,0.0,0.4977429843728815,0.7289326905448344
217,200,7,0.3,1.0,1.0,1.0,0.5,0.3576977908569857,0.7290834388242319
218,200,9,0.3,1.0,1.0,0.5,0.5,0.22785710315969443,0.7291352066761626
219,500,6,0.1,1.0,0.7,0.5,0.0,0.49756251828323605,0.729167423460417
220,200,9,0.3,1.0,1.0,1.0,0.5,0.2301635851002469,0.7292140003843072
221,200,9,0.3,1.0,0.7,0.5,0.5,0.22999385686826587,0.729288940979947
222,500,6,0.1,1.0,0.7,1.0,0.0,0.5033607316675297,0.7293750797505304
223,500,7,0.2,0.7,0.7,0.5,0.5,0.31033027403961216,0.7294251150581231
224,500,7,0.05,0.7,0.7,0.5,0.5,0.5093140810985525,0.7294319400594249
225,500,7,0.05,0.7,0.7,1.0,0.5,0.5127618711746184,0.7294965793885847
226,200,7,0.3,1.0,1.0,0.5,0.5,0.3533038743321165,0.7297024882928427
227,500,6,0.1,0.7,1.0,1.0,0.0,0.4937734081554212,0.7298144174419611
228,200,9,0.3,1.0,0.7,1.0,0.5,0.2330970857745547,0.7298507636309026
229,200,7,0.3,1.0,0.7,1.0,0.5,0.3663887401504227,0.7298566982351576
230,500,10,0.2,1.0,1.0,0.5,0.0,0.20176917558297075,0.729863723055785
231,500,6,0.2,0.7,1.0,0.5,0.5,0.3847382124324598,0.7299400070031032
232,500,6,0.2,0.7,0.7,1.0,0.0,0.3986158331484223,0.7300133866825204
233,200,9,0.2,0.7,1.0,0.5,0.5,0.29840773912426305,0.7300735612579797
234,500,7,0.3,1.0,1.0,1.0,0.0,0.2336438296272282,0.7302311518051708
235,200,7,0.3,1.0,0.7,0.5,0.5,0.36226004752427765,0.7303439243921985
236,500,6,0.2,0.7,1.0,1.0,0.0,0.3952948335985409,0.730439937348932
237,200,10,0.2,0.7,1.0,0.5,0.5,0.263039578351122,0.7306295411213357
238,200,9,0.2,0.7,0.7,1.0,0.0,0.31181526623883815,0.7306712655408141
239,500,6,0.1,1.0,1.0,0.5,0.0,0.4922250197580901,0.7307241104531326
240,500,6,0.1,0.7,0.7,1.0,0.5,0.49501880650440144,0.730892980690101
241,500,7,0.3,1.0,0.7,0.5,0.0,0.23334245631342895,0.7308937893454166
242,200,7,0.2,1.0,1.0,0.5,0.0,0.43095530351822164,0.7309626563013766
243,500,6,0.1,0.7,0.7,0.5,0.5,0.4930575670927953,0.7309826146194472
