rank_test_score,param_knn__n_neighbors,param_knn__weights,param_knn__p,param_knn__metric,train_rmse,test_rmse
417,37,uniform,2,minkowski,0.7832090925941401,0.8055914678363326
417,37,uniform,2,euclidean,0.7832090925941401,0.8055914678363326
417,37,uniform,1,euclidean,0.7832090925941401,0.8055914678363326
420,91,distance,1,euclidean,0.012254261269473364,0.8056559203531048
420,91,distance,2,minkowski,0.012254261269473364,0.8056559203531048
420,91,distance,2,euclidean,0.012254261269473364,0.8056559203531048
423,55,uniform,1,manhattan,0.7902940641257596,0.8060349217899587
423,55,uniform,1,minkowski,0.7902940641257596,0.8060349217899587
423,55,uniform,2,manhattan,0.7902940641257596,0.8060349217899587
426,93,distance,2,minkowski,0.012254261272397999,0.8069814701090847
426,93,distance,1,euclidean,0.012254261272397999,0.8069814701090847
426,93,distance,2,euclidean,0.012254261272397999,0.8069814701090847
