rank_test_score,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_lgbm__subsample,param_lgbm__colsample_bytree,param_lgbm__reg_alpha,param_lgbm__reg_lambda,train_rmse,test_rmse
165,0.05,9,300,1.0,0.7,0.1,0.1,0.18133752765987135,0.4548832429908293
165,0.05,9,300,0.7,0.7,0.1,0.1,0.18133752765987135,0.4548832429908293
167,0.05,-1,300,1.0,1.0,0.3,0.1,0.1574664405730011,0.4548856847124813
167,0.05,-1,300,0.7,1.0,0.3,0.1,0.1574664405730011,0.4548856847124813
169,0.25,5,200,0.7,0.7,0.1,0.0,0.13362324896411387,0.4549881364731922
169,0.25,5,200,1.0,0.7,0.1,0.0,0.13362324896411387,0.4549881364731922
171,0.1,9,300,1.0,0.7,0.0,0.1,0.12007186964890806,0.45506915560661426
171,0.1,9,300,0.7,0.7,0.0,0.1,0.12007186964890806,0.45506915560661426
173,0.1,-1,200,0.7,1.0,0.1,0.0,0.1301911367220829,0.4551797104748847
173,0.1,-1,200,1.0,1.0,0.1,0.0,0.1301911367220829,0.4551797104748847
175,0.05,9,300,1.0,1.0,0.0,0.0,0.17928555255397532,0.4551846830259845
175,0.05,9,300,0.7,1.0,0.0,0.0,0.17928555255397532,0.4551846830259845
177,0.05,9,300,0.7,0.7,0.0,0.0,0.18344682660715772,0.45520212429043433
177,0.05,9,300,1.0,0.7,0.0,0.0,0.18344682660715772,0.45520212429043433
179,0.1,7,300,0.7,1.0,0.1,0.0,0.13076501772490262,0.4552784769570146
179,0.1,7,300,1.0,1.0,0.1,0.0,0.13076501772490262,0.4552784769570146
181,0.1,-1,300,1.0,0.7,0.0,0.1,0.10513605280989718,0.45529882877139477
181,0.1,-1,300,0.7,0.7,0.0,0.1,0.10513605280989718,0.45529882877139477
183,0.1,-1,300,0.7,1.0,0.1,0.3,0.10303485552898486,0.4553657520740298
183,0.1,-1,300,1.0,1.0,0.1,0.3,0.10303485552898486,0.4553657520740298
185,0.05,-1,300,1.0,1.0,0.0,0.3,0.15742661340545253,0.4553713455114928
185,0.05,-1,300,0.7,1.0,0.0,0.3,0.15742661340545253,0.4553713455114928
187,0.1,-1,300,1.0,0.7,0.3,0.0,0.10728313114458347,0.45539682510239454
187,0.1,-1,300,0.7,0.7,0.3,0.0,0.10728313114458347,0.45539682510239454
189,0.1,7,200,1.0,1.0,0.3,0.3,0.16578468549746425,0.4553995571225476
189,0.1,7,200,0.7,1.0,0.3,0.3,0.16578468549746425,0.4553995571225476
191,0.1,9,200,0.7,1.0,0.3,0.3,0.14561849059793744,0.45542686842017394
191,0.1,9,200,1.0,1.0,0.3,0.3,0.14561849059793744,0.45542686842017394
193,0.05,-1,300,1.0,1.0,0.3,0.0,0.15703874119462585,0.4554865156182903
193,0.05,-1,300,0.7,1.0,0.3,0.0,0.15703874119462585,0.4554865156182903
195,0.05,-1,300,1.0,1.0,0.1,0.3,0.15649338365097903,0.4555008158827935
195,0.05,-1,300,0.7,1.0,0.1,0.3,0.15649338365097903,0.4555008158827935
197,0.05,-1,300,0.7,0.7,0.0,0.1,0.16001214216638024,0.4555123409645353
197,0.05,-1,300,1.0,0.7,0.0,0.1,0.16001214216638024,0.4555123409645353
199,0.1,-1,300,0.7,1.0,0.3,0.3,0.10521950998543068,0.4555880790352678
199,0.1,-1,300,1.0,1.0,0.3,0.3,0.10521950998543068,0.4555880790352678
201,0.1,5,300,1.0,0.7,0.3,0.0,0.17764655268694576,0.45560587259176416
201,0.1,5,300,0.7,0.7,0.3,0.0,0.17764655268694576,0.45560587259176416
203,0.1,-1,200,0.7,1.0,0.3,0.0,0.13124915766515008,0.45564378692014224
203,0.1,-1,200,1.0,1.0,0.3,0.0,0.13124915766515008,0.45564378692014224
205,0.05,-1,300,0.7,0.7,0.3,0.3,0.16244032552883259,0.4557448498993024
205,0.05,-1,300,1.0,0.7,0.3,0.3,0.16244032552883259,0.4557448498993024
207,0.2,-1,200,0.7,0.7,0.1,0.0,0.09268202576703649,0.455790330164333
207,0.2,-1,200,1.0,0.7,0.1,0.0,0.09268202576703649,0.455790330164333
209,0.2,-1,300,0.7,1.0,0.3,0.3,0.08632329383176707,0.45583548436268445
209,0.2,-1,300,1.0,1.0,0.3,0.3,0.08632329383176707,0.45583548436268445
211,0.2,-1,300,0.7,0.7,0.1,0.0,0.08465101297985873,0.4558440684159002
211,0.2,-1,300,1.0,0.7,0.1,0.0,0.08465101297985873,0.4558440684159002
213,0.1,9,300,0.7,1.0,0.1,0.3,0.11407764263666649,0.4559242619521441
213,0.1,9,300,1.0,1.0,0.1,0.3,0.11407764263666649,0.4559242619521441
215,0.1,-1,200,0.7,1.0,0.0,0.0,0.12989732624329306,0.45595766519453446
215,0.1,-1,200,1.0,1.0,0.0,0.0,0.12989732624329306,0.45595766519453446
217,0.05,9,300,0.7,1.0,0.3,0.3,0.17484752969803363,0.45597520009066983
217,0.05,9,300,1.0,1.0,0.3,0.3,0.17484752969803363,0.45597520009066983
219,0.2,9,300,1.0,0.7,0.3,0.3,0.08801023396530697,0.45602834811828075
219,0.2,9,300,0.7,0.7,0.3,0.3,0.08801023396530697,0.45602834811828075
221,0.1,7,200,0.7,1.0,0.3,0.0,0.16338213032138402,0.4560485546186016
221,0.1,7,200,1.0,1.0,0.3,0.0,0.16338213032138402,0.4560485546186016
223,0.1,9,200,0.7,1.0,0.0,0.3,0.15222183707158748,0.4560922330359492
223,0.1,9,200,1.0,1.0,0.0,0.3,0.15222183707158748,0.4560922330359492
225,0.2,-1,200,0.7,1.0,0.0,0.1,0.0910185062132595,0.4561076024596242
225,0.2,-1,200,1.0,1.0,0.0,0.1,0.0910185062132595,0.4561076024596242
227,0.1,9,200,0.7,1.0,0.1,0.0,0.14829712213508195,0.4561191797322509
