rank_test_score,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_lgbm__subsample,param_lgbm__colsample_bytree,param_lgbm__reg_alpha,param_lgbm__reg_lambda,train_rmse,test_rmse
259,0.1,7,200,1.0,1.0,0.1,0.3,0.17182682949810804,0.4565127461334088
259,0.1,7,200,0.7,1.0,0.1,0.3,0.17182682949810804,0.4565127461334088
261,0.2,9,200,0.7,1.0,0.3,0.0,0.09718682585683763,0.4565724418624908
261,0.2,9,200,1.0,1.0,0.3,0.0,0.09718682585683763,0.4565724418624908
263,0.05,9,300,0.7,0.7,0.3,0.1,0.17940365052150256,0.45659050431343495
263,0.05,9,300,1.0,0.7,0.3,0.1,0.17940365052150256,0.45659050431343495
265,0.1,9,200,0.7,0.7,0.0,0.3,0.15512997407740306,0.45659535576697907
265,0.1,9,200,1.0,0.7,0.0,0.3,0.15512997407740306,0.45659535576697907
267,0.2,-1,200,0.7,0.7,0.3,0.3,0.09562136487070944,0.4566022263534139
267,0.2,-1,200,1.0,0.7,0.3,0.3,0.09562136487070944,0.4566022263534139
269,0.2,9,200,0.7,1.0,0.3,0.3,0.09700834398366073,0.45667622387789236
269,0.2,9,200,1.0,1.0,0.3,0.3,0.09700834398366073,0.45667622387789236
271,0.2,9,300,0.7,0.7,0.1,0.3,0.0863915707570194,0.4567234872418445
271,0.2,9,300,1.0,0.7,0.1,0.3,0.0863915707570194,0.4567234872418445
273,0.25,-1,200,1.0,0.7,0.0,0.0,0.08693388900552114,0.45675209357689234
273,0.25,-1,200,0.7,0.7,0.0,0.0,0.08693388900552114,0.45675209357689234
275,0.3,7,200,0.7,1.0,0.3,0.0,0.08940614364987885,0.4567687197930246
275,0.3,7,200,1.0,1.0,0.3,0.0,0.08940614364987885,0.4567687197930246
277,0.2,5,300,1.0,0.7,0.3,0.3,0.11607201603151987,0.45689352949117285
277,0.2,5,300,0.7,0.7,0.3,0.3,0.11607201603151987,0.45689352949117285
279,0.2,9,200,0.7,0.7,0.1,0.3,0.09914629562009021,0.45692651798874767
279,0.2,9,200,1.0,0.7,0.1,0.3,0.09914629562009021,0.45692651798874767
281,0.25,-1,300,1.0,0.7,0.0,0.0,0.0824978724775669,0.4569372460775862
281,0.25,-1,300,0.7,0.7,0.0,0.0,0.0824978724775669,0.4569372460775862
283,0.05,9,300,0.7,1.0,0.1,0.3,0.17871688493946036,0.4569403788745762
283,0.05,9,300,1.0,1.0,0.1,0.3,0.17871688493946036,0.4569403788745762
285,0.1,-1,300,1.0,1.0,0.0,0.1,0.10258295760662979,0.4569773714575829
285,0.1,-1,300,0.7,1.0,0.0,0.1,0.10258295760662979,0.4569773714575829
287,0.1,-1,200,1.0,0.7,0.0,0.1,0.1333617405349622,0.45698816740753706
287,0.1,-1,200,0.7,0.7,0.0,0.1,0.1333617405349622,0.45698816740753706
289,0.05,-1,300,0.7,1.0,0.0,0.0,0.15623408397746605,0.4569984680271825
289,0.05,-1,300,1.0,1.0,0.0,0.0,0.15623408397746605,0.4569984680271825
291,0.05,-1,300,1.0,1.0,0.3,0.3,0.15824902842430952,0.4571178267156052
291,0.05,-1,300,0.7,1.0,0.3,0.3,0.15824902842430952,0.4571178267156052
293,0.2,-1,300,1.0,1.0,0.3,0.0,0.08620859193976806,0.4571197898655786
293,0.2,-1,300,0.7,1.0,0.3,0.0,0.08620859193976806,0.4571197898655786
295,0.1,7,200,0.7,0.7,0.1,0.1,0.1716962829024266,0.457134645153814
295,0.1,7,200,1.0,0.7,0.1,0.1,0.1716962829024266,0.457134645153814
297,0.05,7,300,1.0,0.7,0.1,0.0,0.20230736450900225,0.4572681212962067
297,0.05,7,300,0.7,0.7,0.1,0.0,0.20230736450900225,0.4572681212962067
