rank_test_score,param_xgb__n_estimators,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__subsample,param_xgb__colsample_bytree,param_xgb__lambda,param_xgb__alpha,train_rmse,test_rmse
98,200,10,0.05,1.0,1.0,0.5,0.0,0.3188287163660416,0.654457010348672
99,500,7,0.1,0.7,1.0,0.5,0.5,0.31576652741465944,0.6544601273446657
100,500,5,0.2,1.0,1.0,1.0,0.5,0.35682113243858593,0.6545261069085279
101,200,9,0.05,0.7,1.0,1.0,0.5,0.39039046804999383,0.6545770810054052
102,200,9,0.1,0.7,1.0,1.0,0.5,0.3152720388434148,0.6545826472425932
103,500,6,0.2,1.0,0.7,0.5,0.5,0.2817932229988804,0.6546424102102655
104,200,9,0.1,0.7,0.7,0.5,0.5,0.3142535987624262,0.6547093799151181
105,500,6,0.1,0.7,0.7,0.5,0.5,0.3761263910552286,0.6547260253788748
106,200,9,0.05,0.7,1.0,0.5,0.5,0.3852862372327913,0.6548724791067033
107,200,7,0.2,1.0,1.0,1.0,0.5,0.32288270355113385,0.6549854570464773
108,500,10,0.05,0.7,1.0,1.0,0.0,0.28225583225261464,0.6550954189089604
109,500,10,0.05,1.0,1.0,1.0,0.5,0.2549166129614442,0.6551055797051893
110,200,9,0.05,0.7,0.7,1.0,0.5,0.39416890089738466,0.6552648537053197
111,200,9,0.1,1.0,1.0,0.5,0.0,0.2940436563590762,0.6552737089541026
112,500,7,0.1,0.7,0.7,1.0,0.0,0.32783800194363033,0.6553193153362744
113,200,9,0.05,0.7,1.0,1.0,0.0,0.38910201586978166,0.6554439768010782
114,200,9,0.05,0.7,0.7,1.0,0.0,0.3927123218232634,0.6554518941107997
115,500,9,0.1,1.0,0.7,1.0,0.5,0.24431722663302408,0.6555025893966172
116,200,7,0.2,1.0,0.7,0.5,0.5,0.3241768146336899,0.6555384530575069
117,200,9,0.05,1.0,1.0,0.5,0.0,0.3745608122930313,0.6555908608145314
118,500,7,0.1,0.7,1.0,0.5,0.0,0.3264826039199271,0.6556206335625347
119,200,10,0.1,1.0,0.7,0.5,0.0,0.2636844534685547,0.6556403844115972
120,500,10,0.05,0.7,1.0,0.5,0.0,0.2827240819910792,0.6556664265197005
121,500,7,0.1,0.7,1.0,1.0,0.0,0.3258699914016455,0.655717400426381
122,200,10,0.1,0.7,0.7,1.0,0.5,0.28716109713346105,0.655822913724569
123,500,6,0.2,1.0,1.0,0.5,0.5,0.2785685320690764,0.6558886152515757
124,200,9,0.05,1.0,1.0,0.5,0.5,0.37824842439966316,0.6559091404997697
125,200,9,0.05,0.7,0.7,0.5,0.5,0.3899394988998659,0.6559377673868709
126,500,10,0.05,1.0,1.0,1.0,0.0,0.2550876299483597,0.6559929594901271
127,200,9,0.05,0.7,0.7,0.5,0.0,0.3875407377600353,0.6560584607739661
128,500,10,0.05,1.0,1.0,0.5,0.5,0.2524580525658122,0.656204957723178
129,200,10,0.1,1.0,1.0,1.0,0.5,0.2659012226990201,0.6562371376277379
130,500,6,0.2,1.0,1.0,1.0,0.5,0.2814108184681248,0.6562634210128122
131,200,9,0.05,1.0,1.0,1.0,0.5,0.3848817032543494,0.6562747497744872
132,200,9,0.05,1.0,1.0,1.0,0.0,0.38039130135438076,0.6562973838049327
133,500,5,0.2,1.0,0.7,0.5,0.5,0.35741292039159717,0.656375624072774
134,500,6,0.1,0.7,0.7,1.0,0.0,0.3832624735444852,0.6564446396209367
135,200,10,0.1,1.0,1.0,1.0,0.0,0.26662996965660973,0.6565437351126604
136,200,9,0.1,0.7,0.7,1.0,0.0,0.32248953726036594,0.6568686919002095
137,500,5,0.2,1.0,0.7,1.0,0.0,0.36298636520662636,0.6568711503689816
138,500,5,0.2,1.0,1.0,0.5,0.5,0.353054590299222,0.6569372588481751
139,200,10,0.1,1.0,1.0,0.5,0.5,0.2628108334286142,0.657028827525755
140,500,10,0.05,1.0,1.0,0.5,0.0,0.25329723082739825,0.6570540305471583
141,500,6,0.1,0.7,0.7,0.5,0.0,0.38234627929311105,0.6573517948352374
142,500,10,0.01,1.0,0.7,0.5,0.0,0.3890063891321348,0.6574057019471757
143,200,7,0.1,1.0,0.7,0.5,0.5,0.42553108531419626,0.6574226794105746
144,500,5,0.2,1.0,0.7,1.0,0.5,0.3615160355091222,0.6574623424411967
145,500,10,0.01,1.0,0.7,1.0,0.0,0.39748665136645484,0.6575042752003122
146,200,10,0.1,0.7,0.7,0.5,0.5,0.28646209108628584,0.6575861437871151
147,500,6,0.2,1.0,0.7,1.0,0.0,0.2866958131511979,0.6577004508907914
148,200,9,0.1,0.7,1.0,0.5,0.5,0.31375937222476236,0.657704521205626
149,200,10,0.1,0.7,1.0,1.0,0.5,0.28639768588889297,0.6578160149698977
150,500,10,0.01,1.0,0.7,0.5,0.5,0.3993311936188237,0.6578360872016111
151,500,9,0.1,1.0,0.7,1.0,0.0,0.2439621897069074,0.6578484736475734
152,500,6,0.1,0.7,1.0,0.5,0.0,0.3798675633509358,0.6580177246682617
153,200,9,0.05,0.7,1.0,0.5,0.0,0.38636567991931686,0.6581023057886737
154,500,9,0.1,1.0,1.0,1.0,0.5,0.243489972256123,0.658123935636654
155,500,10,0.01,1.0,0.7,1.0,0.5,0.4065837799013174,0.6582177310336139
156,500,6,0.1,0.7,1.0,1.0,0.0,0.37965785484265885,0.6583136012162045
157,200,9,0.1,0.7,1.0,1.0,0.0,0.3231468707360961,0.6583243394937347
158,500,9,0.1,1.0,0.7,0.5,0.5,0.24354224765599677,0.6584382114939992
159,500,5,0.2,1.0,1.0,1.0,0.0,0.3610002863167303,0.6585133584009683
160,500,6,0.2,1.0,1.0,1.0,0.0,0.2841063550771251,0.6585937409214475
161,200,7,0.1,1.0,1.0,0.5,0.5,0.4211287761652163,0.6586607657616389
162,200,10,0.1,0.7,0.7,1.0,0.0,0.2934694461467415,0.6587216353517551
163,200,7,0.1,1.0,0.7,1.0,0.5,0.43058220159106475,0.6587525571425208
164,200,7,0.2,1.0,1.0,0.5,0.5,0.3197869744721964,0.6587853981704918
165,200,9,0.1,0.7,0.7,0.5,0.0,0.3217748576550102,0.6590054598904365
166,500,9,0.1,1.0,0.7,0.5,0.0,0.24294948086652382,0.6590940069903178
167,500,9,0.1,0.7,0.7,0.5,0.5,0.26596970820966054,0.6591843337077737
168,200,10,0.1,0.7,0.7,0.5,0.0,0.29313057942505816,0.6592043074510833
169,500,7,0.2,1.0,0.7,1.0,0.5,0.2502748540127802,0.659286638980393
170,200,10,0.1,0.7,1.0,0.5,0.5,0.28596435612038296,0.65928782052046
171,500,9,0.1,0.7,0.7,1.0,0.5,0.26561073125142304,0.6593121907237376
172,500,6,0.2,1.0,0.7,0.5,0.0,0.2852204809988948,0.6594139991883302
173,200,7,0.1,1.0,0.7,1.0,0.0,0.42960624435143957,0.6595121695186394
174,200,10,0.1,1.0,1.0,0.5,0.0,0.2633918427809636,0.6596932174389848
175,500,9,0.1,1.0,1.0,0.5,0.5,0.24283778017877822,0.6597000174758942
176,200,7,0.1,0.7,1.0,1.0,0.5,0.4252222538224172,0.6599789025227495
177,500,5,0.2,1.0,0.7,0.5,0.0,0.3592528141163813,0.660052120526886
178,500,9,0.1,1.0,1.0,1.0,0.0,0.243850673942414,0.6600957606699732
179,200,7,0.2,1.0,0.7,0.5,0.0,0.3274222856574636,0.6602653347136729
180,500,9,0.1,0.7,1.0,1.0,0.5,0.26563809691800894,0.6603422749862451
181,200,7,0.2,1.0,0.7,1.0,0.0,0.33122892054014474,0.6603931759299018
182,200,7,0.1,1.0,0.7,0.5,0.0,0.42873277062520676,0.6604167327110209
183,200,6,0.2,1.0,1.0,0.5,0.5,0.39858383210145876,0.6604496000926736
184,200,6,0.2,1.0,0.7,1.0,0.5,0.40728609266819515,0.6606064876892468
