rank_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_max_features,train_rmse,test_rmse
93,300,5,0.05,0.5,0.7853432468283553,0.8427813825516945
94,200,5,0.1,sqrt,0.7819205857931102,0.8434672455805008
95,300,5,0.05,0.25,0.7928986678530365,0.8482342712933525
96,300,4,0.1,0.25,0.7969329637544637,0.8495110641950935
97,500,4,0.05,0.5,0.8064194486275736,0.853670416411183
98,500,3,0.2,log2,0.8037569025104238,0.8547907027301649
99,200,5,0.1,log2,0.8014796933569935,0.8573971032555775
100,500,4,0.05,0.25,0.8151033727400295,0.8596607780693413
101,200,10,0.01,sqrt,0.7662852875555359,0.8613516087044495
102,300,3,0.2,0.25,0.8179007743475737,0.8629351806666993
103,300,5,0.2,1,0.8004140476777833,0.8676784985430372
104,200,5,0.05,0.5,0.8281979340956307,0.8700715612181235
105,500,3,0.1,0.25,0.8312474124176567,0.8711502551541325
106,500,4,0.05,sqrt,0.8328913320526252,0.873074178073598
107,300,5,0.05,log2,0.8315746191426358,0.874532630836613
108,500,5,0.1,1,0.8166233084244655,0.875202425522239
109,300,7,0.01,0.5,0.8270685460272684,0.8764518109506939
110,200,4,0.1,0.25,0.8406191513752982,0.877967283196015
111,200,5,0.05,0.25,0.8380487576342422,0.8781006239245647
112,500,4,0.2,1,0.8242223243597913,0.8790174092000961
113,300,3,0.2,sqrt,0.8400818881108446,0.8799793868965938
114,500,10,0.01,1,0.7880311528617929,0.8815800545867832
115,200,3,0.2,0.5,0.8446974674781321,0.8816545791174997
116,200,10,0.01,log2,0.7970947029014039,0.8831390088523718
117,500,4,0.05,log2,0.8481387000107492,0.8850811968372099
118,500,3,0.1,sqrt,0.8522933295221518,0.8868962769612994
119,300,3,0.2,log2,0.8520155363341677,0.8876529811364535
120,200,3,0.2,0.25,0.8562125088388319,0.8891692636394175
121,300,4,0.05,0.5,0.8594548132653743,0.8904143839899991
122,200,4,0.1,sqrt,0.8595535130327409,0.8923844064206391
123,200,5,0.2,1,0.8442197461993481,0.895510074214987
124,500,3,0.1,log2,0.8642611585341688,0.8957674684336835
125,300,4,0.05,0.25,0.8677347261552254,0.8971040845092867
126,300,3,0.1,0.25,0.8772185634133531,0.9038576042465593
127,200,3,0.2,sqrt,0.8763545043854268,0.9049047208289649
128,200,4,0.1,log2,0.8740468519746541,0.9050228831034309
129,200,5,0.05,log2,0.8752564489939061,0.906620906245856
130,500,3,0.05,0.5,0.8860901671374648,0.9099822552542266
131,300,7,0.01,sqrt,0.8724014726386623,0.9110544243090087
132,300,5,0.1,1,0.8701241207710709,0.9120512825088457
133,300,4,0.2,1,0.8725872971777088,0.9132521374671492
134,200,3,0.2,log2,0.8872718973168127,0.9136878365400171
135,500,3,0.05,0.25,0.893888916989016,0.9166020215442099
136,200,7,0.05,1,0.8685703336630813,0.9167561150103603
137,500,4,0.1,1,0.8824849319198237,0.9170364323709548
138,500,5,0.01,0.5,0.8961039154771148,0.9205429161189572
139,500,5,0.05,1,0.8881444836660792,0.923706516134977
140,500,3,0.2,1,0.8945909121922504,0.9241713190380799
141,200,3,0.1,0.5,0.905394739100215,0.9258545859259865
142,200,4,0.05,0.25,0.9052881317237864,0.9266156625132067
143,500,3,0.05,sqrt,0.9094628476940664,0.9290022967620926
144,500,5,0.01,0.25,0.9062784642105269,0.9291648863788949
145,300,3,0.1,log2,0.909592281287623,0.9307487021061958
146,200,7,0.01,0.25,0.9073347628384761,0.9373159290577356
147,200,4,0.05,sqrt,0.9219356834688229,0.9411446422789708
148,300,10,0.01,1,0.8772671564415346,0.9413170950293307
149,200,5,0.1,1,0.9096388410313092,0.9415824699861068
150,300,3,0.05,0.5,0.9295386286835163,0.9455528745086278
151,200,3,0.1,sqrt,0.9329155411340899,0.9497801580058098
152,300,4,0.1,1,0.9252327052215598,0.9501056288482975
153,300,3,0.05,0.25,0.9350900111440282,0.9504507740554279
154,200,4,0.05,log2,0.9331918387627534,0.9511561731360186
155,300,3,0.2,1,0.935417400963128,0.9570435457738955
156,300,5,0.05,1,0.9361303371500176,0.9609977145439723
157,500,5,0.01,log2,0.942908025670875,0.9615126390339365
158,500,4,0.05,1,0.9422381486303357,0.9631225477668793
159,300,3,0.05,sqrt,0.9504032405230636,0.963584694117188
160,200,7,0.01,sqrt,0.9377171223390053,0.964057635917805
161,500,3,0.1,1,0.945717400907926,0.9645141724503714
162,500,4,0.01,0.5,0.9573958286401593,0.9704425489446136
163,300,5,0.01,0.25,0.9562100716078927,0.9713717448546813
164,300,3,0.05,log2,0.9614832260957388,0.9738533369532693
165,200,3,0.05,0.5,0.9624087816038439,0.9744289761227569
166,200,4,0.1,1,0.9581009704514909,0.9770473746840876
167,200,3,0.2,1,0.9646779270518777,0.9812094439228712
168,500,7,0.01,1,0.9532594302100864,0.9815059439752433
169,200,5,0.05,1,0.9717934358681755,0.9899313774690989
170,500,4,0.01,sqrt,0.9796701704178888,0.9907313123265208
171,200,3,0.05,sqrt,0.9815242886110807,0.9910992382682935
172,300,5,0.01,sqrt,0.9816190945130682,0.9946894729468899
173,300,3,0.1,1,0.982084004540984,0.9955000150399013
174,200,3,0.05,log2,0.9910302189224914,0.9999173958402817
175,200,10,0.01,1,0.9567265699000171,1.0024454731153885
176,500,3,0.05,1,0.9945700245730114,1.005918945925589
177,300,4,0.01,0.5,1.0014487708189868,1.0100163853055277
178,300,4,0.01,0.25,1.0086092212059494,1.0169106252405193
179,200,5,0.01,0.25,1.0068650921075863,1.0172994846825767
180,500,3,0.01,0.5,1.0153487790660178,1.0223845763223909
181,300,4,0.01,sqrt,1.0295639375549126,1.0367059913719077
182,500,3,0.01,sqrt,1.0330675089006842,1.0388895190631557
183,200,5,0.01,sqrt,1.032594893394374,1.0416121101248752
184,500,3,0.01,log2,1.0450255589902355,1.050538856976717
185,200,4,0.01,0.5,1.0471654769850405,1.0530496383286223
186,300,4,0.01,log2,1.0464575521726849,1.0530608639731305
187,200,5,0.01,log2,1.051977236386553,1.0601209927226956
188,300,3,0.01,0.5,1.0556962161487329,1.0602805360622036
189,300,3,0.01,0.25,1.0620413399525321,1.0664647499782882
190,200,4,0.01,sqrt,1.0785543419555619,1.0836387881664995
191,500,4,0.01,1,1.0806508949138987,1.0867859456241848
192,200,7,0.01,1,1.081320570436124,1.0947333025572312
193,200,4,0.01,log2,1.0956013644419194,1.1000692159760481
194,200,3,0.01,0.5,1.0998727425866741,1.1031303942622437
195,200,3,0.01,0.25,1.1074624329666352,1.1106055790452831
196,200,3,0.01,sqrt,1.12817281650237,1.1308973864550906
197,300,4,0.01,1,1.1384861858558872,1.1426612442555801
198,200,5,0.01,1,1.1587571898845421,1.1638137842869607
199,200,4,0.01,1,1.193503366172359,1.196477085600302
200,200,3,0.01,1,1.2485086208807663,1.2502095568981744
