rank_test_score,param_gbr__n_estimators,param_gbr__max_depth,param_gbr__learning_rate,param_gbr__max_features,param_gbr__subsample,train_rmse,test_rmse
194,100,7,0.05,log2,1.0,0.6623437352244943,0.7562104258657121
195,200,4,0.1,0.25,0.75,0.6846273440251668,0.7570681032366424
196,200,5,0.05,0.25,1.0,0.6867220745877136,0.7572438898410447
197,200,5,0.05,0.25,0.5,0.685439639845773,0.7573367242103937
198,200,10,0.01,sqrt,0.5,0.6302156723220271,0.7583071980934478
199,200,4,0.1,0.25,1.0,0.6893951581998731,0.7585166071996047
200,200,10,0.01,log2,1.0,0.6214083124314227,0.7587857720754246
201,100,5,0.1,0.5,0.5,0.6808288648539832,0.7588162422595929
202,500,5,0.1,1,0.5,0.6565727192251445,0.7589228869895638
203,100,5,0.1,0.25,0.75,0.6841077727303123,0.7590139365074742
204,100,7,0.05,log2,0.75,0.6691314221693717,0.7602378005701482
205,100,10,0.05,1,0.75,0.6141033416782802,0.7621144586590479
206,100,10,0.05,1,1.0,0.6068436038519786,0.7622556233914825
207,500,7,0.01,log2,0.5,0.6761066967424455,0.7627537641033552
208,500,4,0.05,log2,1.0,0.6972038609835186,0.7637780488678864
209,200,4,0.1,0.25,0.5,0.6914120190529953,0.7640989641878018
210,500,10,0.01,1,0.5,0.6294052699304635,0.7642752321910804
211,200,10,0.01,log2,0.75,0.6325224809647868,0.7644428938048459
212,500,4,0.05,log2,0.75,0.6957860782989371,0.7646554289360671
213,100,5,0.1,0.25,0.5,0.6913930827129767,0.7655382357916289
214,500,3,0.1,sqrt,0.75,0.7026140159647932,0.766688232251165
215,500,4,0.05,log2,0.5,0.7003868032266971,0.7682805670379644
216,100,7,0.05,log2,0.5,0.6809885714176465,0.7686472466015355
217,500,3,0.1,sqrt,0.5,0.7045362336076834,0.7728405403793043
218,200,5,0.05,sqrt,0.75,0.7115651909545259,0.7731446200954205
219,200,4,0.1,sqrt,1.0,0.713133819415457,0.7733029978955699
220,200,5,0.05,sqrt,1.0,0.7100198492459541,0.7733666156895724
221,200,10,0.01,log2,0.5,0.654231616886381,0.77405277420768
222,500,3,0.1,log2,1.0,0.7152228018564422,0.7749958831055748
223,200,4,0.1,sqrt,0.75,0.7148096470528257,0.7765111143325828
224,100,5,0.1,sqrt,1.0,0.7142749369587211,0.7766445609325741
225,100,5,0.1,sqrt,0.75,0.7152540969894647,0.7781866101548329
226,200,5,0.05,sqrt,0.5,0.7170425867061921,0.7795486168685721
227,500,3,0.1,log2,0.5,0.7196216889206314,0.7818189835359531
228,200,5,0.05,log2,1.0,0.7243725375832347,0.7839218908046255
229,200,5,0.05,log2,0.75,0.7265081275220433,0.7850665751379028
230,200,5,0.05,log2,0.5,0.7325080572741973,0.7894481442118004
231,500,3,0.05,0.5,0.75,0.7405496085405968,0.7895348751584176
232,200,4,0.1,log2,0.5,0.7336728807619581,0.7912053680725258
233,100,5,0.1,log2,0.75,0.7345466760903272,0.7917261803788895
234,500,3,0.05,0.5,1.0,0.7470650239093456,0.7925737097121668
235,100,5,0.1,log2,0.5,0.74012195964332,0.7956149331307958
236,500,3,0.05,0.25,0.75,0.7510715842624204,0.7964626503030731
237,500,4,0.1,1,1.0,0.732147296769406,0.7964875879777249
238,500,3,0.05,0.25,0.5,0.7507044112245662,0.7967058376694051
239,500,4,0.1,1,0.75,0.7319161986306051,0.796871663874532
240,200,7,0.05,1,0.75,0.7154582897880734,0.7971810942692478
