rank_test_score,param_gbr__n_estimators,param_gbr__max_depth,param_gbr__learning_rate,param_gbr__max_features,param_gbr__subsample,train_rmse,test_rmse
569,200,7,0.01,sqrt,0.75,0.41654767091704364,0.6399532152979699
570,300,10,0.01,1.0,1.0,0.09746750395031503,0.6408468299207072
571,300,5,0.01,sqrt,1.0,0.4628603378870619,0.6410425166158312
572,500,4,0.01,log2,1.0,0.49470569794580666,0.6415622650890149
573,200,3,0.05,log2,0.5,0.5116104580930919,0.6441179201278318
574,300,5,0.01,sqrt,0.75,0.4746136017865766,0.6451123818026973
575,500,4,0.01,log2,0.75,0.5026000653995921,0.6454852852527824
576,200,7,0.01,log2,1.0,0.4197523687004123,0.6487540731888181
577,500,4,0.01,log2,0.5,0.5159077708770301,0.6497638125107784
578,300,4,0.01,1.0,0.75,0.5073243527535936,0.6520669116789107
579,300,5,0.01,sqrt,0.5,0.49522914783316574,0.652152257233347
580,300,5,0.01,log2,1.0,0.48712513641592364,0.6523045082660442
581,200,7,0.01,sqrt,0.5,0.4539375353547465,0.6523090912019169
582,200,7,0.01,log2,0.75,0.4394144982588316,0.6541175323023819
583,500,3,0.01,1.0,0.75,0.5326100760794925,0.6541716894534295
584,300,4,0.01,1.0,0.5,0.5207213691271029,0.6542985512480166
585,300,5,0.01,log2,0.75,0.4991569262565692,0.6545493060535534
586,500,3,0.01,1.0,0.5,0.5383745668767348,0.6549096427609827
587,300,4,0.01,0.5,0.75,0.5179525372430488,0.6558819009149004
588,300,4,0.01,0.5,1.0,0.5132993446682311,0.6566499031492854
589,500,3,0.01,0.5,0.75,0.541096286472871,0.6566929164198791
