composition,band_gap
H8O16P4Pb2,4.3316
H12O16P4,5.912400000000001
F20H12N4P4,2.614
C4H12P4S12,2.2058
F8H16N4O8P4,5.1965
F4H20N4O12P4,5.29975
H20N4O16P4,5.67905
H20N8O12P4,2.1456
H24N4O16P4,5.2079
H24N8O8P4,4.8545
H24N12O4P4,4.6992
Cl2H24N14P4,4.6517
Br2H24N14P4,4.426
C8H24O6P4,5.3646
H28N8O16P4,5.4216
C4F4H28N12O12P4,5.0827
C8H32N4O16P4,5.5207
C8H32N4O8P4S4,4.4799
H36N8O16P4,4.9313
F4H40N8O16P4,4.9056
H44N8O16P4,5.4492
Cl6F6N6P6,5.0249
N10P6,3.5508
N42P6,3.6121
Br6F6N6P6,4.2345
Au4P6,0.1685
F2O24P6Pb10,3.725
Cl2O24P6Pb10,3.3644200000000004
I2O24P6Pb10,2.3319
O18P6Ru2,1.6964
Ir2O18P6,3.0225
P8,3.4907
O12P8,3.8246
F16O12P8,5.5713
O16P8,4.52785
O20P8,5.17805
Cl8F16O8P8,5.448
F16N8P8,5.11525
Cl16N8P8,3.00595
N12O2P8,4.3498
Br16N8P8,2.4867
O14P8S2,4.0652
Cl20N12O4P8S4,4.01
P8S8,2.4597
O12P8S8,3.94185
P8S10,2.451425
P8S12,2.3095
O6P8S12,3.2058
P8S20,2.581
P8S28,2.0844
O14P8Se2,3.5526
P8Se20,1.3199
C8F24P8,1.0765
C10O10P8S6W2,2.3827
O28P8W4,0.789
O32P8W4,2.1053
O28P8Pb8,3.63085
P8Pb12S32,2.23865
P8Rh4,0.2540875
P8Pt4,0.8755875000000001
P8Ru2,0.877
O28P8Pb4Pd4,1.7518
P8Pd8S8,1.2319
P8Pd8Se8,1.0627
Os2P8,0.7522
Ir4P8,0.5142
H32N8O24P8,5.2523
H40N8O4P8S16,2.5676
Au7I1P10,0.7973
F24N12P12,5.6849
Cl24N12P12,4.1206
Br24N12P12,3.0429
I4P12Se16,1.6702
P12Ru3,1.3632
P12Ru4,1.3909
P16S12,2.8046
I8P16S12,2.012233333333333
P16S24,2.4601
Br8P16Se12,2.2324
I8P16Se12,1.8945
P16Se16,2.2322
P16Se20,1.746
P24,3.5588
P32Se24,2.1778
As1F6N1O2,3.1946
As1F6N1S2,2.595
As2F10,4.5671
As2Cl10,1.4361
