composition,band_gap
Ba4Gd2Ru2O12,0.1467
Ba2Gd1Sb1O6,3.4839
Ba2Gd1Ta1O6,3.307599999999999
Ba2Gd1U1O6,0.8429000000000001
Ba4Ge2Te4Se4,0.8477000000000001
Ba8Ge8Se20,1.4401000000000002
Ba8Ge8Te20,0.6240999999999991
Ba4Ge10Ir8,0.201299999999999
Ba8Ge4As8,0.578599999999999
Ba24Ge12O48,3.7979
Ba8Ge4P8,0.6808999999999991
Ba8Ge4S16,2.2853
Ba4Ge2Se8,1.4121
Ba2H3I1,2.2391
Ba2H6Os1,1.9655
Ba4H12Pt2,1.7589
Ba2H6Ru1,1.8699
Ba8H32Pt4O32,2.4355
Ba2Hf1O4,3.437
Ba2Hf1S4,0.8648
Ba8Hg4S20,1.6693
Ba8Ho4Cl28,4.9186
Ba2Ho1Nb1O6,2.8516
Ba2Ho1Pa1O6,3.4556
Ba2Ho1Ru1O6,0.076
Ba2Ho1Sb1O6,3.4155
Ba2Ho1Ta1O6,3.447999999999999
Ba2Ho1U1O6,0.8731999999999991
Ba4I4O2,3.044099999999999
Ba4In4O10,0.919
Ba16In16S40,1.8678999999999992
Ba8In4Bi4O24,0.208
Ba4In2Bi2S10,1.452899999999999
Ba4In2Bi2Se10,1.061
Ba4In2Br2O6,1.8236999999999992
Ba4In2Cl2O6,1.914499999999999
Ba2In1Cu1O4,1.110799999999999
Ba4In2Ga2O10,1.414499999999999
Ba4In2O6F2,2.046699999999999
Ba2In1Os1O6,0.4224
Ba6In3Ru3O18,0.3628
Ba2In1Sb1O6,0.523999999999999
Ba4In2Sb2Se10,0.768
Ba2La1Ag5S6,1.4647
Ba2La1Bi1O6,1.827799999999999
Ba2La1Nb1O6,3.0639
Ba2La1Pa1O6,3.3736
Ba2La1Ru1O6,0.243699999999999
Ba2La1Sb1O6,3.8961
Ba2La1Ta1O6,3.621299999999999
Ba4Li2B10O20,5.1407
Ba4Li6Ta2N8,2.397
Ba8Li4Ge12,0.0776
Ba4Li2Re2N8,1.7902
Ba2Li1Re1O6,1.8198
Ba8Li4Si12,0.0921
Ba2Lu1Bi1O6,1.4518
Ba2Lu1Nb1O6,2.847899999999999
Ba2Lu1Ru1O6,0.0556
Ba2Lu1Sb1O6,3.2383
Ba2Lu1Ta1O6,3.408899999999999
Ba2Lu1U1O6,2.0388
Ba2Mg1B2O6,4.532399999999999
Ba8Mg4P8O32,4.8917
Ba4Mg6H20,3.161
Ba4Mg2Ge4O14,3.6256
Ba2Mg1H6,2.8864
Ba2Mg1Mo1O6,2.2648
Ba4Mg2Si4O14,4.4529
Ba2Mg1U1O6,2.0335
Ba2Mg1W1O6,3.223099999999999
Ba8Mn4As8O32,2.7135
Ba8Mn4B24O48,3.9788
Ba8Mn4P8O32,3.922
Ba4Mn4Cu2F28,1.1457
Ba16Mn16Si16O72,1.9934
Ba4Mn6Se12O36,0.9861
Ba8Mn4Ge8O28,2.434299999999999
Ba4Mn2Mo2O12,1.265399999999999
Ba8Mn4O12,1.4139
Ba8Mn4Te12,0.825199999999999
Ba8Mn4Te4O24,0.9485999999999992
Ba4Mn2W2O12,2.2267
Ba2N1Cl1,1.1077
Ba2Na1I1O6,2.2417
Ba2Na1Re1O6,1.8688
Ba8Nb8Te4O40,3.0541
Ba2Nb6Te2O21,2.1563
Ba8Nb4Cr4O24,1.582399999999999
Ba4Nb2Fe2O12,1.455
Ba2Nb1In1O6,3.3486
Ba8Nb4N12,1.9547999999999992
