rank_test_score,param_ridge__alpha,param_nystroem__n_components,train_rmse,test_rmse
133,0.6000000000000001,1200,0.46290721005533353,0.5707827378756425
134,0.9000000000000001,2000,0.4672973174119047,0.5709778364474696
135,1.0,2400,0.4693114119391102,0.5710545628718822
136,0.7500000000000001,1400,0.46899628728843623,0.5714760838418785
137,0.8500000000000001,1800,0.46737275875668394,0.571573842433434
138,0.2,600,0.47155026386673254,0.5721154856327246
139,0.55,1000,0.4674842666205589,0.5721969819507035
140,1.0,2200,0.47192867719188564,0.5722701173577089
141,0.8500000000000001,1600,0.47104991212965025,0.5729562901603829
142,0.6500000000000001,1200,0.4679011460000914,0.5730779580714344
143,0.9500000000000001,2000,0.4715175914471017,0.5730792683595879
144,0.4,800,0.4667065552901781,0.5730871216412048
145,0.8,1400,0.47343376729653297,0.573663871960369
146,0.9000000000000001,1800,0.47167035259474505,0.5737333437493785
147,0.6000000000000001,1000,0.47245624079938126,0.5744626102062408
148,0.25,600,0.47819452807857044,0.5748573020766758
149,0.9000000000000001,1600,0.47523353375596644,0.5750665138357596
150,1.0,2000,0.47553400594716905,0.5750994184367443
151,0.7000000000000001,1200,0.472582293867816,0.5752655134091677
152,0.45,800,0.4722599491571586,0.5755538745524662
153,0.8500000000000001,1400,0.47763292393533113,0.5757583889494208
154,0.9500000000000001,1800,0.47575310582482233,0.5758034472431467
155,0.6500000000000001,1000,0.47710507363651533,0.5766239544866966
156,0.9500000000000001,1600,0.47921110742832024,0.5770914417204093
157,0.7500000000000001,1200,0.4769889541353581,0.5773559463332272
158,0.3,600,0.4841460385591257,0.5774855560661061
159,0.9000000000000001,1400,0.48161858369023164,0.5777679392756682
160,1.0,1800,0.479641651176447,0.5777918837798388
161,0.5,800,0.47738094907657086,0.5778867205017687
162,0.7000000000000001,1000,0.48147217235022194,0.5786906941737343
163,1.0,1600,0.4830021856821456,0.5790382898682995
164,0.8,1200,0.48115264831407867,0.579358347712885
165,0.9500000000000001,1400,0.485411834855603,0.5796997775798566
166,0.35000000000000003,600,0.48954380881791587,0.5799836700376847
167,0.55,800,0.48213640387044737,0.5800992832657713
168,0.7500000000000001,1000,0.4855912729944406,0.5806713285236501
169,0.8500000000000001,1200,0.4850996530543958,0.5812806042009067
170,1.0,1400,0.48903075124627526,0.5815602761948971
171,0.6000000000000001,800,0.486578289586483,0.5822037414426866
172,0.4,600,0.4944882089813774,0.5823528491939088
173,0.8,1000,0.48949025381598377,0.5825733303109271
174,0.9000000000000001,1200,0.4888521199378351,0.5831295975089106
175,0.6500000000000001,800,0.49074789278004427,0.5842108087926823
