rank_test_score,param_learning_rate,param_max_depth,param_n_estimators,param_colsample_bytree,param_subsample,train_rmse,test_rmse
162,0.01,5,500,0.7,1.0,0.3481499100820901,0.6031386222261793
163,0.2,3,500,0.5,0.5,0.14095813124102036,0.6032689215486348
164,0.2,4,200,0.5,0.5,0.16477594729969863,0.6033292184330085
165,0.2,3,500,0.7,0.5,0.13712577452511188,0.6033732089931148
166,0.1,3,200,0.7,0.5,0.36719386490810135,0.603395623546691
167,0.01,5,500,0.7,0.5,0.38351193163028396,0.6036926901991404
168,0.2,3,200,0.7,0.5,0.27378862484533867,0.6037537982369269
169,0.1,3,200,0.7,1.0,0.3630026608693128,0.6039631541681442
170,0.2,10,500,0.5,0.5,0.012671286946185155,0.6039902088298063
171,0.2,5,500,0.7,0.5,0.020843996092105768,0.6040277986214885
172,0.2,4,200,1.0,0.5,0.15201278833839812,0.6046224721702529
173,0.01,5,500,0.5,0.5,0.39075297553014204,0.6047376727042636
174,0.2,10,200,0.5,0.5,0.013085864634272316,0.6047501760514847
175,0.1,3,200,0.7,0.7,0.3562601367421434,0.6048275958805176
176,0.2,3,200,0.5,0.7,0.25977380172004844,0.6049207419052107
177,0.1,3,200,0.5,0.7,0.3591747744580384,0.6051588631596407
178,0.1,3,200,1.0,0.5,0.3597621440687034,0.605200123378739
179,0.2,10,200,0.7,0.5,0.013000824109400276,0.6053214284047553
180,0.2,10,500,0.7,0.5,0.0126834784575202,0.6053898115214845
181,0.1,3,200,0.5,0.5,0.37348473691903067,0.6054867304993207
182,0.2,5,200,0.7,0.5,0.08056585537139967,0.6061392203696266
183,0.2,7,500,0.5,0.5,0.012975139084831219,0.6064525932410365
184,0.2,5,200,0.5,0.5,0.08855012065892809,0.6069583519215308
185,0.2,10,500,0.7,0.7,0.012494864990705571,0.6069978130767061
186,0.2,10,200,0.7,0.7,0.012520185017764234,0.6070093130331743
187,0.2,7,200,0.5,0.5,0.023707232699762354,0.6070894430136081
188,0.2,5,500,0.5,0.5,0.022805896270727034,0.6081115011510156
189,0.2,7,200,0.7,1.0,0.013860858652778219,0.6083528486499794
190,0.2,7,500,0.7,1.0,0.012327049270248042,0.6083891163440368
191,0.2,10,200,1.0,0.7,0.012523584878312248,0.6084183065314623
192,0.2,10,500,1.0,0.7,0.012500753202726242,0.6084213807950243
193,0.2,3,200,0.5,0.5,0.27802138303767965,0.608524111685768
194,0.2,10,500,0.5,0.7,0.012495503571800983,0.6085416447683224
195,0.2,10,200,0.5,0.7,0.012537815533469958,0.6085919151061069
196,0.1,10,500,0.7,1.0,0.012321555564616973,0.6089578944099489
197,0.1,10,200,0.7,1.0,0.012589032220054483,0.6090160752563148
198,0.01,5,500,1.0,1.0,0.3465392064053509,0.6095726842526762
199,0.2,5,500,1.0,0.5,0.020300025597056043,0.6106973478169487
200,0.2,5,200,1.0,0.5,0.07771221953519696,0.6119189901184919
201,0.5,5,200,0.7,1.0,0.013960171860802395,0.6126432964094014
202,0.5,5,500,0.7,1.0,0.012304482387929498,0.6126518893013977
203,0.01,4,500,1.0,0.7,0.4429980335859116,0.6173377744988474
204,0.01,4,500,0.7,0.7,0.44871311292117605,0.6204166764760953
205,0.01,4,500,0.5,0.7,0.4558079298750375,0.6211619559721635
206,0.5,3,500,1.0,1.0,0.028605467162176042,0.6212108681328239
207,0.01,4,500,1.0,0.5,0.45787280192520025,0.6231628324653045
208,0.5,3,200,1.0,1.0,0.11656115814414872,0.6232635663626147
209,0.1,10,500,1.0,1.0,0.012320786570142156,0.6240237567707212
210,0.1,10,200,1.0,1.0,0.012550103607249676,0.6240500006933293
